sub_id	session 2	session 3	session 4	session 5	session 6	session 7	session 8	session 9	session 10	notes
01	6	3	4	7	0	1	2	5	8	
02	5	 1	 4	 3	 0	 8	 6	 7	 2	
03	8	2	6	7	1	0	4	3	5	
04	8	 2	 0	 3	 1	 5	 4	 6	 7	
										
										
										
										
										
										
										
										
										
