csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	non_steady_state_outlier00	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
10129.4423828125	10212.693359375	10034.9345703125	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.0	0.0
10015.91015625	10204.9013671875	9993.7294921875	1.362709	39.346588	0.1613665	-0.0421343125	-0.0237708595	-0.0367217761	-0.041358575	0.0393467944	0.0484117631	-0.0390120475	-0.0279516251	-0.0026017622	0.030294091699999998	-0.0003140166	0.0781040925	0.0520931078	0.0520927528	0.0520921612	0.052091333	0.052090268099999996	0.052088966699999996	0.052087428600000006	0.0	-0.0241522	-0.0425969	0.047995	0.000539051	0.000283041	0.000110356
9954.453125	10204.2529296875	9967.8984375	1.37524	39.708408	0.26361980999999995	0.022716291800000003	-0.048242893200000005	-0.0077482903	-0.005517776899999999	-0.0511322455	0.0258570707	0.024901079399999998	-0.0419315641	0.017210895	-0.0496198949	-0.0277711377	0.0044443568	0.0520921612	0.052088966699999996	0.0520836425	0.052076189	0.0520666065	0.0520548953	0.052041055999999995	0.0	-0.00129239	0.0526641	0.101101	1.0587899999999999e-22	0.0010525	0.000649706
9908.4375	10195.248046875	9948.365234375	1.232861	35.597397	0.03278236	0.0466165995	0.0068533463	-0.0187554923	0.0178132939	0.0433747342	0.0225337143	0.0436433822	0.0120677376	-0.0034456355	0.0128864705	0.0472458595	0.0171724269	0.052090268099999996	0.0520813946	0.0520666065	0.052045905499999996	0.052019294	0.051986774900000005	0.051948352	0.0	0.00133627	0.0570994	0.0881952	1.0587899999999999e-22	0.00125222	0.000593174
9868.99609375	10200.6943359375	9942.66015625	1.14452	33.046658	0.19242822000000004	0.0354802173	0.0420119165	0.0423694271	-0.047920293200000005	-0.0159172517	-0.0060960964	0.0182239501	0.0437135342	-0.015357628	0.0087658527	-0.0519522153	0.0436867958	0.052087428600000006	0.052070037199999995	0.052041055999999995	0.0520004912	0.051948352	0.05188465	0.051809399299999996	0.0	-0.0257877	-0.0371883	0.0927542	0.000467464	0.000796302	0.000187405
9868.8740234375	10200.9453125	9948.00390625	1.200797	34.671577	0.15097527	-0.0148325203	0.03828242	0.045894049900000004	0.027543693900000003	-0.0467478014	0.0327037886	-0.027747416400000002	0.031106617000000003	-0.0054563343999999995	-0.0516772267	-0.0097471644	-0.0166504144	0.0520836425	0.0520548953	0.052006995	0.051939959400000006	0.0518538129	0.051748587400000004	0.0516243215	0.0	-0.00785158	0.0338083	0.107683	1.3234899999999996e-23	0.000625498	-0.000116602
9886.314453125	10198.0556640625	9943.1796875	1.140047	32.917484	0.10534537	-0.028838790899999998	0.0125995853	0.0586791662	0.051393925599999994	0.0249841958	0.0411266681	-0.0469451929	0.0047072882	-0.0125317251	-0.003334628	0.048910990700000004	-0.04737534	0.0520789101	0.05203597	0.051964429400000005	0.0518643275	0.0517357195	0.051578676	0.0513932833	0.0	-0.0146793	0.0556039	0.132878	-0.00028408	0.000867205	0.000388152
9832.8359375	10200.052734375	9940.015625	1.119318	32.31897	0.16942015	-0.0356594305	-0.0097502257	0.0406464836	0.010422295600000001	0.0484105854	0.0072878092	-0.0411718674	-0.025163028100000002	-0.0220174483	0.045841913600000006	0.0168171341	0.0109463053	0.052073231399999996	0.0520132626	0.0519133659	0.051773617699999996	0.0515941256	0.0513750271	0.051116490599999995	0.0	-0.0270184	-0.0613489	0.125634	0.0	0.000703135	0.000178617
9845.3388671875	10204.8291015625	9948.1943359375	1.168453	33.737698	0.08837053	-0.011783448899999998	-0.0468931187	0.06721759599999999	-0.036943958900000004	0.0127789058	0.0037143336	-0.0016335333999999999	-0.055523065999999996	-0.0026282188	0.0398204732	-0.0560211741	0.0205753241	0.0520666065	0.051986774900000005	0.0518538129	0.051667856399999997	0.051429095300000005	0.051137773899999996	0.0507941896	0.0	-0.0398787	-0.0545809	0.106801	-0.000622741	0.000463438	4.28704e-05
9870.25	10190.3740234375	9952.5517578125	1.139462	32.900593	0.17704648	0.0085294649	-0.0509179379	0.0020050978	0.0071971079	-0.0478463237	-0.019870629	0.029567796099999998	-0.049366046399999995	-0.0011884136	-0.029689565299999998	-0.0360283753	-0.0454175312	0.052059035499999996	0.0519565087	0.05178578019999999	0.0515470741	0.0512407038	0.0508670714	0.0504266674	0.0	-0.0275969	0.0564667	0.105752	-0.00156911	0.000463438	-6.41222e-05
