csf	white_matter	global_signal	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
10570.578125	10835.755859375	10698.83984375	n/a	n/a	n/a	-0.0362698703	-0.029474110499999998	0.011163507900000001	-0.0630598965	-0.035021347	0.0482745874	-0.0241355978	0.0417005654	0.0078557549	-0.033418971400000004	0.0559437395	-0.0450774787	0.052057802699999996	0.052057449000000006	0.0520568594	0.0520560339	0.05205497269999999	0.052053675599999995	0.0520521427	-0.00787053	-0.032035	-0.0711772	0.000708792	-0.000461561	0.000103184
10480.62890625	10840.1708984375	10680.9794921875	1.205854	36.639145	0.1626661589	-0.0257462102	0.029897450699999998	-0.013360366299999999	-0.0170655703	0.0568056329	0.0369781409	0.0342805576	0.0194177162	0.0231073652	-0.008662978100000001	0.07934454120000001	0.0487282615	0.0520568594	0.052053675599999995	0.052048369500000004	0.0520409412	0.052031391100000005	0.0520197195	0.052005927	1.05789e-05	-0.0707515	-0.0260683	0.00119519	0.00036805	0.0
10412.9697265625	10855.2705078125	10688.869140625	1.2627910000000002	38.369148	0.2835195311	0.055713154400000006	0.0154594827	0.023001590699999998	0.006871839499999999	-0.0229278529	0.0205043626	0.0050200602	-0.054581853099999994	-0.0265926552	-0.0107268281	-0.015923563	-0.0248370054	0.05205497269999999	0.0520461292	0.052031391100000005	0.0520107601	0.0519842386	0.0519518296	0.051913536600000004	0.0209135	0.057889	-0.0172531	-0.000731672	-8.660919999999998e-05	0.000121697
10356.310546875	10830.0830078125	10651.30078125	1.325422	40.272144	0.15040983000000002	0.0060008088	-0.0586173337	-0.0014267822	0.0469868078	-0.0281357596	-0.0219743839	-0.0553292848	0.0074740615	-0.0109540178	0.0723373514	-0.0329269816	0.024654224	0.0520521427	0.052034810199999997	0.052005927	0.051965499500000005	0.051913536600000004	0.05185005	0.0517750536	0.0208976	0.0428981	0.0402042	9.02534e-05	0.000255296	0.000516781
10413.3125	10845.994140625	10669.603515625	1.155465	35.108109	0.17358494000000002	-0.0462235095	-0.0207776332	0.0169799607	0.0216569939	-0.0063883457999999995	-0.005283539300000001	-0.00841397	0.0414420089	-0.0163618915	0.0192363493	0.018148551699999998	0.0060117028	0.052048369500000004	0.0520197195	0.0519719813	0.0519051723	0.0518193171	0.0517144471	0.0515906009	0.0208995	-0.0931502	0.0307556	0.000206525	-8.660919999999998e-05	0.000413235
10410.7578125	10865.88671875	10687.38671875	1.215484	36.931747	0.18838619	-0.0442363151	0.028959229	-0.0220972921	0.019682415800000002	0.0286470313	-0.1006642842	0.0458978898	0.0205906528	0.0170474111	-0.0033449873	-0.0565374233	0.0409045328	0.0520436531	0.0520008583	0.0519295596	0.0518297962	0.0517016228	0.0515451095	0.05136034230000001	0.0208911	-0.0118574	0.0781965	0.000898827	-0.000483643	0.000516781
10391.3447265625	10841.1416015625	10689.03515625	1.146377	34.831989	0.11339083	0.033802150499999996	0.0333179673	0.0051940193	-0.0005160477	0.0102021577	-0.0547035607	0.032158737	-0.049185405999999994	-0.0070085508	0.0244988564	-0.0289434638	0.0049735782	0.052037993600000006	0.0519782277	0.0518786688	0.051739393	0.051560506900000004	0.0513421476	0.051084482199999996	0.0253664	0.0474006	0.0579773	0.000950644	5.33066e-05	0.000516781
10403.1083984375	10856.9501953125	10686.50390625	1.254578	38.119606	0.24378943	0.0557626783	-0.0263469016	0.0359999842	-0.011453728400000002	0.0211147236	-0.0291305583	-0.0405502855	-0.047756498099999996	-0.008234360100000001	-0.0170243496	0.0352160292	-0.0129487119	0.052031391100000005	0.0519518296	0.0518193171	0.051633988799999996	0.051396033499999993	0.0511056938	0.050763265599999996	0.0208903	-0.0783061	-0.0442368	0.000926102	-0.000150002	0.000516781
10426.12890625	10839.1015625	10670.015625	1.225329	37.230892	0.0702717	-0.0298420648	-0.042142989900000004	0.0043264744	-0.044321934400000006	-0.016920580600000002	-0.015111497	-0.0378446717	0.038994618599999996	-0.0035007525	-0.0012974085	0.0061851526	-0.0196938914	0.0520238458	0.0519216657	0.051751514299999996	0.051513614299999996	0.051208277	0.050835902300000006	0.0503969776	0.0208796	-0.0392744	-0.0420659	0.00124044	-0.000151543	0.000251492
10431.646484375	10842.78125	10672.4111328125	1.244545	37.814762	0.190619695	-0.0388473697	0.023799684300000002	0.0115465048	-0.034886061600000004	0.028429694100000003	0.0101490047	0.032915657200000004	0.0387242405	0.013999138799999998	-0.011135487	0.0087211606	0.0118574826	0.052015357699999994	0.0518877384	0.05167527139999999	0.0513783043	0.0509973225	0.0505329491	0.0499859435	0.0208799	0.074479	-0.0143888	0.000564514	-0.000307272	9.93691e-05
